지점명,매장주소
광주금호,광주광역시 서구 운천로 117 1층
광주화정,광주광역시 서구 상무대로 1070 (화정동)
울산공업탑,울산광역시 남구 수암로 6 (신정동)
울산달동,울산광역시 남구 번영로 53  1층 도미노피자
울산무거,울산광역시 남구 삼호로 3 (무거동)
울산삼산,"울산광역시 남구 돋질로 246, 1층 (달동)"
울산전하,울산광역시 동구 방어진순환도로 735 (전하동)
울산호계,울산광역시 북구 동대로 69-1 (호계동)
울산화봉,울산광역시 북구 화봉로 143 (연암동)
언양,"울산광역시 울주군 언양읍 북문5길 7, 2호 (신화빌라)"
울산범서,울산광역시 울주군 범서읍 대리로 105 (구영리)
울산온산,울산광역시 울주군 온산읍 신경3길 55 (덕신리)
울산병영,울산광역시 중구 평산1길 2 (약사동)
울산성안,울산광역시 중구 성안로 134
명지,"부산광역시 강서구 명지오션시티10로 16, 201호 (명지동, 퀸덤1차링컨타운)"
구서,부산광역시 금정구 금강로 433 (구서동)
부산대,부산광역시 금정구 금정로 54
기장,부산광역시 기장군 기장읍 차성동로154번길 2 (교리)
정관,부산광역시 기장군 정관읍 용수로 23
대연,부산광역시 남구 수영로 256 (대연동)
용호남천,부산광역시 남구 수영로 346  1층
동래,"부산광역시 동래구 아시아드대로 203 (온천동, 도미노피자)"
충렬사역,부산광역시 동래구 반송로  217
부산개금,"부산광역시 부산진구 가야대로 467, 1층 (개금동)"
서면,부산광역시 부산진구 전포대로 195 (전포동)
초읍,부산광역시 부산진구 성지로 58  1층
덕천,부산광역시 북구 만덕대로 116 (덕천동)
화명,부산광역시 북구 화명신도시로 77 (화명동)
모라,"부산광역시 사상구 사상로 520 (모라동, 도미노피자)"
학장,부산광역시 사상구 학감대로 226
괴정,부산 사하구 사하로 169 (괴정동)
다대포,부산광역시 사하구 다대로 571 (다대동)
하단,부산광역시 사하구 하신중앙로 333 (하단동)
대신,"부산광역시 서구 구덕로 303-1, 1층 (서대신동2가)"
수영,"부산광역시 수영구 수영로 640-1, 1층 (광안동)"
연산,부산 연제구 중앙대로 1173 (1층)
연제토곡,"부산광역시 연제구 과정로 156, 1층"
영도,부산광역시 영도구 태종로 329-1 (청학동)
반여재송,"부산광역시 해운대구 반여로 23 (반여동, 도미노피자)"
부산반송,부산광역시 해운대구 아랫반송로21번길 106 (반송동)
센텀,부산광역시 해운대구 해운대로 535 (우동)
해운대,부산광역시 해운대구 해운대로 793 부산자생한방병원 상가 108호
제주서귀포,제주도 서귀포시 신서귀로 118
제주노형,제주특별자치도 제주시 연북로 18 (노형동)
제주이도,제주 제주시 승천로  70 (1층)
제주화북,제주도 제주시 화삼로 19 (화북1동)
세종다정,"세종특별자치시 한누리대로 331 SR파크센텀 103호,104호"
세종보람,"세종특별자치시 시청대로 209 금강르네상스 1층 107,108호"
세종아름,"세종특별자치시 보듬3로 91, 115~116호 (아름동, 해피라움4)"
조치원,세종특별자치시 조치원읍 문화길 39  1층
