지점명,매장주소
대학로,서울특별시 종로구 율곡로 223 (이화동)
성균관대 인사캠(서울,서울특별시 종로구 성균관로 25-2 지하 1층 600주년 기념관
세종로,서울특별시 종로구 필운대로 43 (누하동)
평창,"서울특별시 종로구 평창문화로 75 글로리아타운 비동 102,103호"
명동,서울특별시 중구 마른내로 47 (초동)
신당,서울특별시 중구 다산로 156 (신당동)
면목,"서울특별시 중랑구 용마산로86길 9-27, 상가 104호 (면목동, 신성미소지움아파트)"
중랑,"서울특별시 중랑구 망우로 377 (상봉동, 성환빌딩)"
계양,인천광역시 계양구 주부토로 463 (작전동)
임학,인천광역시 계양구 장제로 889
간석,인천광역시 남동구 주안로 259번길 6(간석동)
구월,인천광역시 남동구 문화로 111 (구월동)
서창,인천광역시 남동구 장아산로 130 (서창동)
인천논현,"인천광역시 남동구 소래역로 28, 조은프라자 112호 (논현동)"
인천만수,"인천광역시 남동구 구월로 318, 1층 (만수동, 대성빌딩)"
용현,인천광역시 미추홀구 인하로133번길 4 현진원룸주택 1층
주안,인천광역시 미추홀구 미추홀대로 628  도미노피자 주안점
부평산곡,인천광역시 부평구 마장로 168 (산곡동)
부평,"인천광역시 부평구 부평대로 114 (부평동, 부평타워큐아파트)"
삼산,"인천광역시 부평구 주부토로 295, 1층 (갈산동)"
검단,"인천광역시 서구 완정로92번길 41, 101, 102호 (마전동, 인천검단힐스테이트2차)"
인천석남,인천광역시 서구 길주로 60 (석남동)
인천연희,"인천광역시 서구 탁옥로 90 (심곡동, 덕산빌딩)"
청라,인천광역시 서구 청라라임로138번길 4-4 (연희동)
송도2호,인천광역시 연수구 송도미래로 47  105호(송도동)
송도,인천광역시 연수구 컨벤시아대로 송도동 21-60 힐스테이트 4단지 116호
신연수,"인천광역시 연수구 함박로91번길 4, 1층 (연수동)"
연수,인천광역시 연수구 용담로 93
옥련,"인천광역시 연수구 청량로184번길 52 (옥련동, 삼선프라자)"
동인천역,인천광역시 중구 참외전로 188 도미노피자
인천운서,인천광역시 중구 모랫말로5번길 1(운서동)
인천하늘도시,인천광역시 중구 영종진로66번길 15  1층 101호(중산동)
고양,"경기도 고양시 덕양구 혜음로 68 (고양동, 중부대학교 근처)"
대화,"경기도 고양시 일산서구 송포로 26, 117호 (대화동, 현대플라자)"
마두백석,경기도 고양시 일산동구 중앙로 1080 남정골드프라자 1층
원당,경기도 고양시 덕양구 고양대로 1375 (성사동)
장항,"경기도 고양시 일산동구 호수로 606, B동 106~107호 (장항동, 코오롱레이크폴리스I)"
중산탄현,경기도 고양시 일산서구 일중로 46 (일산동)
풍동식사,경기도 고양시 일산동구 고양대로 1025  SK 풍동충전소 건너편
행신,"경기도 고양시 덕양구 충경로 29, 1층 (행신동)"
화정,경기도 고양시 덕양구 은빛로 53 (화정동)
후곡,"경기도 고양시 일산서구 일산로 511, 1층 (일산동, 태성프라자)"
과천,"경기도 과천시 새술막길 14, 1층 (중앙동, 과천농협)"
광명일직,경기도 광명시 일직로 28 광명트리플타워 122호
광명,"경기도 광명시 하안로 361, 한마음문화센터 (하안동)"
철산,경기도 광명시 시청로 32 (철산동)
경기광주,"경기도 광주시 역동로 47 (역동, 대복빌딩)"
곤지암,"경기도 광주시 곤지암읍 경충대로 772 (삼리, 다모아빌딩)"
오포,"경기도 광주시 오포읍 오포로 116, 106~107호 (능평리, 한산빌딩)"
태전,"경기도 광주시 고불로 84  2동 1층 4,5호(태전동)"
갈매,"경기도 구리시 갈매순환로 206  1층 109호, 110호"
구리인창,경기도 구리시 동구릉로 79 (인창동)
구리,"경기도 구리시 벌말로 185, 상가 110~111호 (수택동, 구리태영데시앙아파트)"
군포송정,경기도 군포시 송부로33번길 3-23  1층
군포,경기도 군포시 금당로 23 (당동)
산본,경기도 군포시 산본로431번안길 3-7 (산본동)
고촌,경기도 김포시 고촌읍 은행영사정로 41 (신곡리)
김포구래,경기도 김포시 김포한강9로12번길 97-10
김포사우,"경기도 김포시 돌문로 95, 1층 104호 (사우동)"
