지점명,주소,lat,lng
진주경상대점,경남 진주시 진주대로 536 부픙빌딩 101호,35.1542214,128.1070234
진주칠암점,경남 진주시 동진로 17,35.1790393,128.0930652
진주혁신도시점,경남 진주시 사들로 83,35.1752409,128.148878
창원상남점,"경상남도 창원시 성산구 상남로 107, 1층 128호",35.2231118,128.6817807
창원양덕점,경남 창원시 마산회원구 양덕동 149-7,35.2237425,128.5860032
창원유니시티점,경남 창원시 의창구 중동중앙로 47 스튜디오스트리트몰 1층 1045호,35.256626,128.6249983
창원진해점,경남 창원시 진해구 냉천로69,35.1524376,128.704713
통영무전점,경남 통영시 통영해안로 315,34.8431191,128.4231683
경산하양점,경북 경산시 하양읍 하양로76,35.9115681,128.8167486
경주중앙점,경북 경주시 노동동 77-3,35.8420705,129.2132278
구미역점,경북 구미시 구미중앙로 92,36.1282511,128.3324802
안동점,경상북도 안동시 북문동 47-7,36.5667896,128.7308351
포항대이점,경북 포항 남구 대이로 109,36.024957,129.3407365
광주상무지구점,"광주광역시 서구 시청로27, 테라스가든동 153호",35.1511439,126.8508234
광주첨단신용점(오픈예정),"광주 북구 첨단연신로107번길 11, 1층 108호 (신용동)",35.2073368,126.8630158
광주첨단점,광주 광산구 임방울대로 801번길 8,35.2182291,126.8462171
광주충장로점,광주 동구 황금동 91-1,35.1464524,126.9158705
전남대점,광주 북구 우치로 90번길 6,35.1754194,126.9129442
경북대점,대구 북구 대학로 89,35.8930882,128.6096161
대구대실역점,대구 달성군 다사읍 달구벌대로 875,35.8582229,128.4652301
대구동성로점,대구광역시 중구 동성로2가 68-8,35.8698881,128.5970042
대구동성로중앙점,대구 중구 동성로 1길 29-33,35.8678153,128.5952246
대구수성구청역점,대구 수성구 범어동 206-2,35.858474,128.6371958
대구신월성점,대구 달서구 조암로 41,35.8242367,128.5257173
대구율하점,대구광역시 동구 안심로 22길 52,35.8631772,128.6972011
대구칠곡3지구점,대구광역시 북구 동천동 896-2,35.9438669,128.5633259
대전관저점,"대전광역시 서구 관저동 1340, 하이존 117호",36.2993227,127.3397725
대전탄방점,대전 서구 탄방동 722,36.3482467,127.3889787
현대아울렛대전점,대전 유성구 용산동 579,36.4239095,127.3986899
범일동일타워점,부산 동구 조방로 14 동일타워 106호,35.1387523,129.0634901
부산남포동점,부산광역시 중구 광복동 1가 17-6,35.0986588,129.0340448
부산대점,부산광역시 금정구 장전동 416-42,35.2313811,129.0867523
부산덕천점,부산 북구 만덕대로16번길 9,35.2100428,129.0072178
부산롯데월드어드벤처점,부산 기장군 기장읍 시랑리 산46 일대 부산롯데월드어드벤처,35.1946151,129.2147839
부산부경대점,"부산광역시 남구 수영로334번길 50, 1층",35.1363546,129.1034654
부산사직점,부산 동래구 사직북로5,35.1963321,129.0606565
부산서면롯데후문점,부산광역시 부산진구 부전로66번길 12,35.1557798,129.0553771
부산센텀시티점,부산 해운대구 센텀1로 17,35.1669285,129.1315826
부산수영점,부산광역시 수영구 수영로 707,35.1681247,129.1167015
부산장산역점,부산 해운대구 해운대로 814 세종월드프라자 A동 134호,35.1695768,129.1776778
부산전포카페거리점,부산시 부산진구 전포대로199번길 27,35.1542845,129.0635917
부산정관점,부산 기장군 정관읍 정관로 566 헬로시티 101호,35.3212123,129.1755326
부산하단동아대점,부산 사하구 하단동 497-36 외 1 필지 더휴103호,35.1115577,128.965333
해운대점,부산시 해운대구 해운대로 620,35.1629713,129.1584586
NC구로점,서울 구로구 구로중앙로 152,37.5011324,126.8828
NC송파점,"서울 송파구 충민로 66, Young관 2층 Food Street",37.4776148,127.1249617
w몰점,서울시 금천구 디지털로 188,37.4773538,126.8876842
가로수길점(6월 오픈예정),서울 강남구 압구정로10길 36 영진빌딩 1층 (신사동),37.5212453,127.0219803
강남본점,서울특별시 서초구 서초동 1321-9 풍림아이원매직 제1층 102호,37.4956669,127.0256036
강남역점,서울특별시 강남구 강남대로78길 22,37.495164,127.031179
강남우성점,서울 서초구 서초동1337-22 대우디오빌프라임 1층 104호,37.491587,127.0299707
경희대점,서울 동대문구 회기동 16-47,37.5926351,127.052738
광장점,서울 광진구 아차산로 502 진넥스오딧세이 1층 105호,37.5413606,127.0972644
광화문D타워점,서울시 종로구 종로3길 17 디타워1층,37.5710184,126.9789694
