가맹점명,주소,위도,경도
신당역점,서울 중구 퇴계로86길 6 (신당동) ,37.5652743,127.0196128
부산거제점,부산 연제구 거제천로87번길 35 (거제동) ,35.1825884,129.0714468
부산초량점,부산 동구 고관로29번길 33 (초량동) 1층,35.1224976,129.0407718
대전문화점,"대전 중구 계백로1716번길 87 (문화동, 센트럴파크3단지아파트) 상가 102",36.3185632,127.4127597
대전만년점,대전 서구 만년남로 7 (만년동) ,36.3658623,127.3764706
대전중리점,대전 대덕구 홍도로 109 (중리동) ,36.3558564,127.4272683
대전태평점,대전 중구 평촌로 90 (유천동) ,36.3221376,127.3968954
대전갈마점,"대전 서구 갈마중로16번길 7 (갈마동, 한국도로공사 조합아파트) 아파트상가 106호",36.3473889,127.3719123
대전테크노밸리점,"대전 유성구 배울2로 78 (관평동, 대덕테크노밸리6단지아파트) 상가107호",36.4194153,127.3904519
대전관저점,대전 서구 관저로 80 (관저동) ,36.2986639,127.3308595
대전낭월점,대전 동구 산내로 1309 (낭월동) ,36.2803806,127.4678602
대전복수점,대전 서구 복수남로 31 (복수동) ,36.2979844,127.3779394
대전가장점,"대전 서구 가장로 106 (가장동, 삼성 래미안아파트) 나르매 A.P.T 달리상가 106호",36.3329316,127.3846874
대전신성점,대전 유성구 신성남로 31-1 (신성동) 102호,36.3865389,127.3486895
대전둔산3동점,대전 서구 문정로170번길 199 (둔산동) 1층,36.3506494,127.3971472
대전우송대점,대전 동구 동대전로 126-2 (대동) ,36.3334264,127.445669
대전노은역점,대전 유성구 노은로 144 (지족동) ,36.3725488,127.318497
대전관저원앙점,대전 서구 관저북로51번길 8-20 (관저동) 102호,36.3072559,127.3368261
대구감삼점,대구 달서구 장기로 176 (감삼동) ,35.8436865,128.541171
대구대곡역점,대구 달성군 화원읍 비슬로543길 27 ,35.8110406,128.5110912
대구대곡역점,대구 달성군 화원읍 비슬로543길 27 ,35.8110406,128.5110912
대구불로점,대구 동구 팔공로 149 (불로동) 엠타워 1층,35.9120335,128.6407733
대구범어역점,대구 수성구 동대구로59길 14-8 (범어동) ,35.8580162,128.624103
대구상인점,"대구 달서구 상인서로 85 (상인동, 상인동방현대아파트) ",35.8173401,128.5402903
대구사월역점,대구 수성구 달구벌대로 3294 (신매동) 시지퍼스트111호,35.8364159,128.7159112
대구용산점,대구 달서구 용산로 230 (용산동) ,35.8580488,128.5308452
